01,0002,0001
01,0012,0010
01,0014,0008
01,0003,0005
01,0011,0013
01,0006,0004
01,0015,0009
01,0016,0007
01,0014,0002
01,0008,0001
01,0003,0012
01,0005,0010
01,0011,0015
01,0004,0007
01,0013,0009
01,0006,0016
02,0002,0012
02,0010,0001
02,0014,0003
02,0005,0008
02,0011,0004
02,0013,0006
02,0015,0016
02,0007,0009
02,0013,0002
02,0006,0001
02,0011,0012
02,0004,0010
02,0015,0003
02,0007,0005
02,0009,0014
02,0016,0008
03,0002,0010
03,0001,0012
03,0014,0005
03,0008,0003
03,0011,0006
03,0004,0013
03,0015,0007
03,0009,0016
03,0008,0002
03,0003,0001
03,0005,0012
03,0014,0010
03,0011,0007
03,0004,0009
03,0013,0016
03,0006,0015
04,0005,0002
04,0014,0001
04,0008,0012
04,0003,0010
04,0011,0016
04,0004,0015
04,0013,0007
04,0006,0009
05,0009,0002
05,0016,0001
05,0015,0012
05,0007,0010
05,0013,0014
05,0006,0008
05,0011,0003
05,0004,0005
06,0002,0003
06,0001,0005
06,0012,0014
06,0010,0008
06,0011,0009
06,0004,0016
06,0013,0015
06,0006,0007
07,0015,0002
07,0007,0001
07,0009,0012
07,0016,0010
07,0014,0011
07,0008,0004
07,0003,0013
07,0005,0006
08,0002,0006
08,0001,0011
08,0012,0004
08,0010,0013
08,0015,0005
08,0007,0014
08,0009,0008
08,0016,0003
09,0002,0007
09,0001,0009
09,0012,0016
09,0010,0015
09,0014,0004
09,0008,0013
09,0003,0006
09,0005,0011
10,0002,0016
10,0001,0015
10,0012,0007
10,0010,0009
10,0014,0006
10,0008,0011
10,0003,0004
10,0005,0013
11,0002,0011
11,0001,0004
11,0012,0013
11,0010,0006
11,0015,0014
11,0007,0008
11,0009,0003
11,0016,0005
12,0001,0002
12,0010,0012
12,0005,0014
12,0003,0008
12,0013,0011
12,0004,0006
12,0009,0015
12,0007,0016
12,0010,0002
12,0012,0001
12,0003,0014
12,0008,0005
12,0004,0011
12,0006,0013
12,0016,0015
12,0009,0007
13,0002,0004
13,0001,0013
13,0012,0006
13,0010,0011
13,0015,0008
13,0007,0003
13,0009,0005
13,0016,0014
14,0012,0002
14,0001,0010
14,0008,0014
14,0005,0003
14,0006,0011
14,0013,0004
14,0007,0015
14,0016,0009
