01,0005,0018
01,0015,0001
01,0017,0002
01,0019,0012
01,0022,0010
01,0024,0004
01,0023,0006
01,0008,0020
01,0007,0016
01,0011,0013
01,0009,0014
01,0003,0021
01,0002,0001
01,0006,0012
01,0010,0004
01,0007,0009
01,0008,0011
01,0005,0003
01,0021,0018
01,0013,0014
01,0020,0016
01,0022,0015
01,0019,0023
01,0017,0024
02,0002,0012
02,0001,0004
02,0006,0010
02,0007,0008
02,0005,0009
02,0003,0011
02,0021,0016
02,0014,0020
02,0018,0013
02,0022,0023
02,0015,0024
02,0019,0017
02,0002,0004
02,0012,0010
02,0001,0006
02,0007,0003
02,0011,0005
02,0009,0008
02,0021,0020
02,0016,0013
02,0014,0018
02,0022,0017
02,0024,0019
02,0023,0015
03,0002,0010
03,0004,0006
03,0012,0001
03,0007,0011
03,0009,0003
03,0008,0005
03,0021,0014
03,0018,0016
03,0013,0020
03,0022,0024
03,0023,0017
03,0015,0019
04,0002,0006
04,0010,0001
04,0004,0012
04,0007,0005
04,0003,0008
04,0011,0009
04,0021,0013
04,0020,0018
04,0016,0014
04,0022,0019
04,0017,0015
04,0024,0023
05,0011,0001
05,0008,0002
05,0003,0004
05,0009,0006
05,0007,0010
05,0005,0012
05,0024,0013
05,0015,0014
05,0023,0016
05,0019,0018
05,0017,0020
05,0022,0021
06,0007,0001
06,0005,0002
06,0011,0004
06,0008,0006
06,0003,0010
06,0009,0012
06,0015,0013
06,0023,0014
06,0019,0016
06,0017,0018
06,0022,0020
06,0024,0021
07,0001,0003
07,0002,0009
07,0004,0007
07,0006,0005
07,0010,0011
07,0012,0008
07,0013,0019
07,0014,0017
07,0016,0022
07,0018,0024
07,0020,0015
07,0021,0023
08,0001,0005
08,0002,0011
08,0004,0008
08,0006,0003
08,0010,0009
08,0012,0007
08,0013,0023
08,0014,0019
08,0016,0017
08,0018,0022
08,0020,0024
08,0021,0015
09,0001,0009
09,0002,0007
09,0004,0005
09,0006,0011
09,0010,0008
09,0012,0003
09,0013,0017
09,0014,0022
09,0016,0024
09,0018,0015
09,0020,0023
09,0021,0019
10,0004,0002
10,0010,0012
10,0006,0001
10,0008,0007
10,0009,0005
10,0011,0003
10,0020,0021
10,0013,0016
10,0018,0014
10,0017,0022
10,0019,0024
10,0015,0023
11,0001,0008
11,0002,0003
11,0004,0009
11,0006,0007
11,0010,0005
11,0012,0011
11,0013,0022
11,0014,0024
11,0016,0015
11,0018,0023
11,0020,0019
11,0021,0017
12,0010,0002
12,0006,0004
12,0001,0012
12,0009,0007
12,0011,0008
12,0003,0005
12,0013,0021
12,0018,0020
12,0014,0016
12,0019,0022
12,0015,0017
12,0023,0024
12,0006,0002
12,0001,0010
12,0012,0004
12,0005,0007
12,0008,0003
12,0009,0011
12,0014,0021
12,0016,0018
12,0020,0013
12,0024,0022
12,0017,0023
12,0019,0015
13,0001,0002
13,0012,0006
13,0004,0010
13,0003,0007
13,0005,0011
13,0008,0009
13,0018,0021
13,0014,0013
13,0016,0020
13,0023,0022
13,0024,0015
13,0017,0019
14,0012,0002
14,0004,0001
14,0010,0006
14,0011,0007
14,0003,0009
14,0005,0008
14,0016,0021
14,0020,0014
14,0013,0018
14,0015,0022
14,0023,0019
14,0024,0017
